,Name,Price
0,Cune Rioja Reserva 2016/17,£12.99 Mix Six £14.99 per bottle
1,"The Guv'nor, Spain",£6.99 Mix Six £8.99 per bottle
2,La Rioja Alta 'Viña Ardanza' Rioja Reserva 2012,£24.99 Mix Six £27.99 per bottle
3,Definition Rioja Reserva 2017/18,£11.99 Mix Six £13.99 per bottle
4,Baron Edmond de Rothschild Montagne-Saint-Émilion 2016/18,£18.99 Mix Six £24.99 per bottle
5,"Bread & Butter Pinot Noir 2019/20, California",£13.99 Mix Six £15.99 per bottle
6,"Ernesto Catena Vineyards ‘Ánimal’ Organic Malbec 2020, Mendoza",£11.99 Mix Six £14.99 per bottle
7,"Porta 6 2020, Lisbon",£7.99 Mix Six £8.99 per bottle
8,"Winemaker Series The Red, 2018/19 Swartland",£9.99 Mix Six £12.99 per bottle
9,Beronia Rioja Reserva 2016/17,£15.99 Mix Six £17.99 per bottle
10,Beefsteak Club Malbec 2020 Mendoza,£7.99 Mix Six £9.99 per bottle
11,"Boekenhoutskloof 'The Chocolate Block' 2019/20, Western Cape",£21.99 Mix Six £24.99 per bottle
12,Villa Borghetti Valpolicella Ripasso 2019/20,£12.99 Mix Six £14.99 per bottle
13,"Château Batailley 2014/15, Pauillac",£54.99 Mix Six £64.99 per bottle
14,"LB7 Red 2019, Lisbon",£7.49 Mix Six £8.49 per bottle
15,"Nero Oro Appassimento 2020, Sicily",£8.99 Mix Six £9.99 per bottle
16,"Bread & Butter Cabernet Sauvignon 2019, California",£13.99 Mix Six £15.99 per bottle
17,"Edouard Delaunay 'Septembre' Pinot Noir 2018/19, Burgundy",£15.99 Mix Six £17.99 per bottle
18,Castello Banfi ‘Poggio alle Mura’ Brunello di Montalcino 2015/16,£44.99 Mix Six £49.99 per bottle
19,"Masi 'Costasera' Amarone Classico 2015/16, Valpolicella",£31.99 Mix Six £38.99 per bottle
20,Joseph Drouhin Gevrey-Chambertin 2017,£44.99 Mix Six £49.99 per bottle
21,Marqués de Murrieta Rioja Gran Reserva 2014/15,£36.99 Mix Six £41.99 per bottle
22,E. Guigal Côtes du Rhône 2017/18,£11.99 Mix Six £13.99 per bottle
23,"Pasqua 'Desire, Lush & Zin' Primitivo 2020, Puglia",£8.99 Mix Six £12.99 per bottle
24,"Finca Carelio Tempranillo 2018, Spain",£7.99 Mix Six £9.99 per bottle
25,"Luis Felipe Edwards Gran Reserva Merlot 2019/20, Colchagua Valley",£7.99 Mix Six £9.99 per bottle
26,"Pardon et Fils Fleurie 2019/20, Côte des Laburons",£13.99 Mix Six £15.99 per bottle
27,Definition Barolo DOCG 2017,£18.99 Mix Six £22.99 per bottle
28,Domini Veneti 'La Casetta' Valpolicella Ripasso Superiore 2017/18,£13.99 Mix Six £16.99 per bottle
29,Domaine Durieu Châteauneuf-du-Pape 2018/19,£22.99 Mix Six £25.99 per bottle
30,Chapoutier Crozes Hermitage Les Moniers 2018/19,£16.99 Mix Six £18.99 per bottle
31,Definition Pauillac 2016/17,£24.99 Mix Six £27.99 per bottle
32,Château Grand Faurie La Rose Saint-Émilion Grand Cru 2016/18,£18.99 Mix Six £22.99 per bottle
